,Award date,Capacity (m3/d),Capacity (MGD),Capital Cost per Unit of Daily Capacity ($/m3/d),Country,Customer type,EPC contractor (desal),EPC price,Feedwater,Holding Company,Inflation Adjusted EPC,Latitude,Location,Location type,Longitude,Membrane type (RO),Online date,Owner - Client,Plant status,Plant supplier,Plant supplier share,Plant type,Procurement model,Project name,Region,RO Feed Pump Drive,RO Membrane Type,RO System,Size,Subregion,Technology,Thermal design,Unit size (m3/d),Units,Winner,Water price (USD/m3),Water Year,Water Cost,Water Inflation Multiple,Inflation Adjusted Water Cost,Water Stress,Inflation Adjusted Wellhead Natural Gas Price
0,2002.0,"14,000",3.7,323.5982978,Algeria,Industry (TDS <10ppm),Linde-KCA-Dresden GmbH,3400000.0,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Linde Group,4530376.169,36.8791667,Skikda,Land based,6.9066667,Spiral Wound Membrane,2003,Algerienne Des Eaux,Online,Linde Group,100.0,Stand-alone,EPC,Skikda,EMEA,Electric Motor,Spiral Wound Membrane,Single Pass,L,Middle East / North Africa,RO (Reverse Osmosis),,4666.67,3.0,,,0.0,0.0,0.0,0.0,3.444266526,4.019924394040472
1,2002.0,"14,000",3.7,1111.655329,Algeria,Municipalities as drinking water (TDS 10ppm - <1000ppm),SNC-Lavalin / Strabag,11680000.0,Brackish water or inland water (TDS 3000ppm - <20000ppm),Consortium,15563174.6,36.8791667,Skikda,Land based,6.9066667,Spiral Wound Membrane,2003,ANB,Online,SNC-Lavalin,50.0,Stand-alone,EPC,Skikda,EMEA,Electric Motor,Spiral Wound Membrane,Single Pass,L,Middle East / North Africa,RO (Reverse Osmosis),,7000.0,2.0,,,0.0,0.0,0.0,0.0,3.444266526,4.019924394040472
2,2002.0,"10,000",2.64,3296.514895,Algeria,Municipalities as drinking water (TDS 10ppm - <1000ppm),Passavant-Roediger GmbH,24740000.0,Seawater (TDS 20000ppm - 50000ppm),Drake & Scull International PJSC,32965148.95,36.742222,Corso Reghaia,Land based,3.341389,Spiral Wound Membrane,2003,Municipality of Corso Regaia,Online,Drake & Scull International PJSC,100.0,Stand-alone,EPC,Corso Regaia,EMEA,Electric Motor,Spiral Wound Membrane,Single Pass,L,Middle East / North Africa,RO (Reverse Osmosis),,2500.0,4.0,,,0.0,0.0,0.0,0.0,3.444266526,4.019924394040472
3,2002.0,"5,000",1.32,1332.463579,Algeria,Municipalities as drinking water (TDS 10ppm - <1000ppm),Linde-KCA-Dresden GmbH / Strabag,5000000.0,Seawater (TDS 20000ppm - 50000ppm),Consortium,6662317.895,36.6427778,Bou Ismail,Land based,2.6963889,Spiral Wound Membrane,2003,Algerienne Des Eaux,Online,Linde Group,50.0,Stand-alone,EPC,Bou Ismail,EMEA,Electric Motor,Spiral Wound Membrane,Single Pass,M,Middle East / North Africa,RO (Reverse Osmosis),,5000.0,1.0,,,0.0,0.0,0.0,0.0,3.444266526,4.019924394040472
4,2002.0,"2,500",0.66,1332.463579,Algeria,Municipalities as drinking water (TDS 10ppm - <1000ppm),Linde-KCA-Dresden GmbH / Strabag,2500000.0,Seawater (TDS 20000ppm - 50000ppm),Consortium,3331158.948000001,36.7475,Champ de Tir,Land based,3.1930556,Spiral Wound Membrane,2003,Algerienne Des Eaux,Online,Linde Group,50.0,Stand-alone,EPC,Champ de Tir 1,EMEA,Electric Motor,Spiral Wound Membrane,Single Pass,M,Middle East / North Africa,RO (Reverse Osmosis),,2500.0,1.0,,,0.0,0.0,0.0,0.0,3.444266526,4.019924394040472
5,2002.0,"2,500",0.66,1332.463579,Algeria,Municipalities as drinking water (TDS 10ppm - <1000ppm),Linde-KCA-Dresden GmbH / Strabag,2500000.0,Seawater (TDS 20000ppm - 50000ppm),Consortium,3331158.948000001,36.7475,Champ de Tir,Land based,3.1930556,Spiral Wound Membrane,2003,Algerienne Des Eaux,Online,Linde Group,50.0,Stand-alone,EPC,Champ de Tir 2,EMEA,Electric Motor,Spiral Wound Membrane,Single Pass,M,Middle East / North Africa,RO (Reverse Osmosis),,2500.0,1.0,,,0.0,0.0,0.0,0.0,3.444266526,4.019924394040472
6,2002.0,"2,500",0.66,1385.762122,Algeria,Municipalities as drinking water (TDS 10ppm - <1000ppm),Linde-KCA-Dresden GmbH,2600000.0,Seawater (TDS 20000ppm - 50000ppm),Linde Group,3464405.306000001,35.1,Ghazaouet,Land based,-1.85,Spiral Wound Membrane,2003,Algerienne Des Eaux,Online,Linde Group,100.0,Stand-alone,EPC,Ghazaouet 1,EMEA,Electric Motor,Spiral Wound Membrane,Single Pass,M,Middle East / North Africa,RO (Reverse Osmosis),,2500.0,1.0,,,0.0,0.0,0.0,0.0,3.444266526,4.019924394040472
7,2002.0,"2,500",0.66,1332.463579,Algeria,Municipalities as drinking water (TDS 10ppm - <1000ppm),Linde-KCA-Dresden GmbH,2500000.0,Seawater (TDS 20000ppm - 50000ppm),Linde Group,3331158.948000001,36.5666667,Fontaine,Land based,2.0333333,Spiral Wound Membrane,2003,Algerienne Des Eaux,Online,Linde Group,100.0,Stand-alone,EPC,Fontaine 1,EMEA,Electric Motor,Spiral Wound Membrane,Single Pass,M,Middle East / North Africa,RO (Reverse Osmosis),,2500.0,1.0,,,0.0,0.0,0.0,0.0,3.444266526,4.019924394040472
8,2002.0,"2,500",0.66,1332.463579,Algeria,Municipalities as drinking water (TDS 10ppm - <1000ppm),Linde-KCA-Dresden GmbH,2500000.0,Seawater (TDS 20000ppm - 50000ppm),Linde Group,3331158.948000001,36.5666667,Fontaine,Land based,2.0333333,Spiral Wound Membrane,2003,Algerienne Des Eaux,Online,Linde Group,100.0,Stand-alone,EPC,Fontaine 2,EMEA,Electric Motor,Spiral Wound Membrane,Single Pass,M,Middle East / North Africa,RO (Reverse Osmosis),,2500.0,1.0,,,0.0,0.0,0.0,0.0,3.444266526,4.019924394040472
9,2002.0,"2,500",0.66,1332.463579,Algeria,Municipalities as drinking water (TDS 10ppm - <1000ppm),Linde-KCA-Dresden GmbH / Strabag,2500000.0,Seawater (TDS 20000ppm - 50000ppm),Consortium,3331158.948000001,36.74305220000001,Palm-Beach,Land based,2.8436859,Spiral Wound Membrane,2003,Algerienne Des Eaux,Online,Linde Group,50.0,Stand-alone,EPC,Palm Beach,EMEA,Electric Motor,Spiral Wound Membrane,Single Pass,M,Middle East / North Africa,RO (Reverse Osmosis),,2500.0,1.0,,,0.0,0.0,0.0,0.0,3.444266526,4.019924394040472
